Campaign,Ad Group,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Path 1,Path 2,Final_URL
SEM_Campaign,Bangkok,Hotels In Bangkok,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,bangkok,www.mywebsite.com/thailand/bangkok
SEM_Campaign,Bangkok,Homestays In Bangkok,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,bangkok,www.mywebsite.com/thailand/bangkok
SEM_Campaign,Chiang Mai,Hotels In Chiang Mai,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,chiang-mai,www.mywebsite.com/thailand/chiang-mai
SEM_Campaign,Chiang Mai,Homestays In Chiang Mai,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,chiang-mai,www.mywebsite.com/thailand/chiang-mai
SEM_Campaign,Phuket,Hotels In Phuket,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,phuket,www.mywebsite.com/thailand/phuket
SEM_Campaign,Phuket,Homestays In Phuket,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,phuket,www.mywebsite.com/thailand/phuket
SEM_Campaign,Koh Samui,Hotels In Koh Samui,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,koh-samui,www.mywebsite.com/thailand/koh-samui
SEM_Campaign,Koh Samui,Homestays In Koh Samui,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,koh-samui,www.mywebsite.com/thailand/koh-samui
SEM_Campaign,Hua Hin,Hotels In Hua Hin,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,hua-hin,www.mywebsite.com/thailand/hua-hin
SEM_Campaign,Hua Hin,Homestays In Hua Hin,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,hua-hin,www.mywebsite.com/thailand/hua-hin
SEM_Campaign,Ayutthaya,Hotels In Ayutthaya,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,ayutthaya,www.mywebsite.com/thailand/ayutthaya
SEM_Campaign,Ayutthaya,Homestays In Ayutthaya,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,ayutthaya,www.mywebsite.com/thailand/ayutthaya
SEM_Campaign,Krabi,Hotels In Krabi,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,krabi,www.mywebsite.com/thailand/krabi
SEM_Campaign,Krabi,Homestays In Krabi,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,krabi,www.mywebsite.com/thailand/krabi
SEM_Campaign,Chiang Rai,Hotels In Chiang Rai,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,chiang-rai,www.mywebsite.com/thailand/chiang-rai
SEM_Campaign,Chiang Rai,Homestays In Chiang Rai,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,chiang-rai,www.mywebsite.com/thailand/chiang-rai
SEM_Campaign,Kanchanaburi,Hotels In Kanchanaburi,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,kanchanaburi,www.mywebsite.com/thailand/kanchanaburi
SEM_Campaign,Kanchanaburi,Homestays In Kanchanaburi,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,kanchanaburi,www.mywebsite.com/thailand/kanchanaburi
SEM_Campaign,Phi Phi Island,Hotels In Phi Phi Island,Up to 60% Discount,,Book your Hotel online.Best Price.No Reservation Cost.Free Cancellation. No Hidden Fee.,,thailand,phi-phi-island,www.mywebsite.com/thailand/phi-phi-island
SEM_Campaign,Phi Phi Island,Homestays In Phi Phi Island,Book Now & Pay Later,,"Find homestays in Bangkok, Check out the star rating and review score before you book!",,thailand,phi-phi-island,www.mywebsite.com/thailand/phi-phi-island
